theta1,theta2,theta3,theta4,theta5,theta6,px,py,pz,R00,R01,R02,R10,R11,R12,R20,R21,R22
0.17453293,-1.22173048,1.39626340,-1.57079633,1.74532925,0.34906585,-0.01956817,-0.44787407,0.54975522,-0.16891887,-0.96501216,0.20054414,-0.98010957,0.14295451,-0.13765624,0.10417126,-0.21980797,-0.96996536
-0.43633231,-0.95993109,1.22173048,-1.83259571,1.65806279,-0.26179939,-0.23824514,-0.26588338,0.62239083,-0.17421577,-0.98151811,0.07919002,-0.98446276,0.17181547,-0.03622858,0.02195293,-0.08427121,-0.99620100
0.69813170,-1.39626340,1.74532925,-1.04719755,1.39626340,0.61086524,0.16422974,-0.38719415,0.54187780,-0.14288127,-0.92517069,0.35163070,-0.70829603,-0.15256919,-0.68923100,0.69130433,-0.34753683,-0.63349545
-0.87266463,-1.13446401,1.48352986,-1.91986218,1.91986218,-0.69813170,-0.31937700,-0.15776119,0.55216929,-0.19834163,-0.95505799,0.22028352,-0.95526776,0.13806143,-0.26153880,0.21937206,-0.26230378,-0.93971944
1.22173048,-0.87266463,1.04719755,-1.74532925,1.30899694,0.87266463,0.28695010,-0.24224378,0.66147893,0.35137987,-0.93198588,-0.08907587,-0.91508063,-0.32177318,-0.24308325,0.19788793,0.16692616,-0.96590684
-0.26179939,-1.65806279,1.91986218,-0.95993109,2.09439510,-0.43633231,-0.18210764,-0.39927828,0.44700936,0.24465910,-0.91826920,0.31132556,-0.50151375,-0.39464290,-0.76989671,0.82983486,0.03222819,-0.55707760
0.95993109,-0.69813170,0.87266463,-2.09439510,1.04719755,1.13446401,0.13831252,-0.27701799,0.69290176,0.00261671,-0.84811293,-0.52980904,-0.95973673,0.14668857,-0.23955768,0.28088889,0.50910404,-0.81358128
-1.13446401,-1.30899694,1.65806279,-1.22173048,2.26892803,-0.95993109,-0.37616248,-0.10712132,0.56987490,0.17346956,-0.96929325,-0.17429545,-0.61158870,0.03269243,-0.79050014,0.77192459,0.24372484,-0.58713765
0.43633231,-1.91986218,2.26892803,-0.78539816,1.22173048,0.17453293,0.03315632,-0.39211894,0.35364599,0.00561498,-0.99874313,0.04980585,-0.39791361,-0.04792515,-0.91617026,0.91740571,-0.01467414,-0.39768259
-0.61086524,-1.48352986,1.65806279,-1.48352986,1.83259571,-0.52359878,-0.34142091,-0.32957800,0.45223346,-0.06481553,-0.99551432,0.06892155,-0.93501857,0.03645727,-0.35271964,0.34862476,-0.08730464,-0.93318737
